ID,Name,Gender,Qualification,,
27,"""Rich Shapero""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (27, ""Rich Shapero"", ""M"" , ""PhD"" );"
28,"""Michael Crichton""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (28, ""Michael Crichton"", ""M"" , ""PhD"" );"
29,"""C.S. Lewis""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (29, ""C.S. Lewis"", ""M"" , ""PhD"" );"
30,"""ARTHUR PHILLIPS""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (30, ""ARTHUR PHILLIPS"", ""M"" , ""PhD"" );"
31,"""Stephan Jaramillo""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (31, ""Stephan Jaramillo"", ""M"" , ""PhD"" );"
32,"""Mordecai Richler""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (32, ""Mordecai Richler"", ""M"" , ""PhD"" );"
33,"""Eleanor Cooney""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (33, ""Eleanor Cooney"", ""M"" , ""PhD"" );"
34,"""Charlotte Link""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (34, ""Charlotte Link"", ""M"" , ""PhD"" );"
35,"""Richard North Patterson""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (35, ""Richard North Patterson"", ""M"" , ""PhD"" );"
36,"""Mark Salzman""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (36, ""Mark Salzman"", ""M"" , ""PhD"" );"
37,"""Harper Lee""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (37, ""Harper Lee"", ""M"" , ""PhD"" );"
38,"""LAURA HILLENBRAND""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (38, ""LAURA HILLENBRAND"", ""M"" , ""PhD"" );"
39,"""Barbara Kingsolver""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (39, ""Barbara Kingsolver"", ""M"" , ""PhD"" );"
40,"""Jo Dereske""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (40, ""Jo Dereske"", ""M"" , ""PhD"" );"
41,"""Jane Austen""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (41, ""Jane Austen"", ""M"" , ""PhD"" );"
42,"""Dolores Krieger""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (42, ""Dolores Krieger"", ""M"" , ""PhD"" );"
43,"""Anne Rivers Siddons""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (43, ""Anne Rivers Siddons"", ""M"" , ""PhD"" );"
44,"""Dean R. Koontz""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (44, ""Dean R. Koontz"", ""M"" , ""PhD"" );"
45,"""Mary Higgins Clark""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (45, ""Mary Higgins Clark"", ""M"" , ""PhD"" );"
46,"""Dean Koontz""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (46, ""Dean Koontz"", ""M"" , ""PhD"" );"
47,"""Patricia Cornwell""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (47, ""Patricia Cornwell"", ""M"" , ""PhD"" );"
48,"""J.D. Robb""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (48, ""J.D. Robb"", ""M"" , ""PhD"" );"
49,"""Maeve Binchy""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (49, ""Maeve Binchy"", ""M"" , ""PhD"" );"
50,"""Laura J. Mixon""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (50, ""Laura J. Mixon"", ""M"" , ""PhD"" );"
51,"""Tim Lahaye""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (51, ""Tim Lahaye"", ""M"" , ""PhD"" );"
52,"""M.D. Bernie S. Siegel""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (52, ""M.D. Bernie S. Siegel"", ""M"" , ""PhD"" );"
53,"""Robert Penn Warren""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (53, ""Robert Penn Warren"", ""M"" , ""PhD"" );"
54,"""Hans Johannes Hoefer""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (54, ""Hans Johannes Hoefer"", ""M"" , ""PhD"" );"
55,"""Mark Helprin""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (55, ""Mark Helprin"", ""M"" , ""PhD"" );"
56,"""O. Carol Simonton Md""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (56, ""O. Carol Simonton Md"", ""M"" , ""PhD"" );"
57,"""Chuck Hill""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (57, ""Chuck Hill"", ""M"" , ""PhD"" );"
58,"""David Iglehart""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (58, ""David Iglehart"", ""M"" , ""PhD"" );"
59,"""Larry McMurtry""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (59, ""Larry McMurtry"", ""M"" , ""PhD"" );"
60,"""SUZANNE FISHER STAPLES""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (60, ""SUZANNE FISHER STAPLES"", ""M"" , ""PhD"" );"
61,"""Michel Tournier""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (61, ""Michel Tournier"", ""M"" , ""PhD"" );"
62,"""Carl Sagan""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (62, ""Carl Sagan"", ""M"" , ""PhD"" );"
63,"""Aleksandr Zinoviev""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (63, ""Aleksandr Zinoviev"", ""M"" , ""PhD"" );"
64,"""Anne Tyler""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (64, ""Anne Tyler"", ""M"" , ""PhD"" );"
65,"""Joseph Conrad""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (65, ""Joseph Conrad"", ""M"" , ""PhD"" );"
66,"""Deepak Chopra""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (66, ""Deepak Chopra"", ""M"" , ""PhD"" );"
67,"""Thomas Hardy""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (67, ""Thomas Hardy"", ""M"" , ""PhD"" );"
68,"""Charles Noland""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (68, ""Charles Noland"", ""M"" , ""PhD"" );"
69,"""Valerie Frankel""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (69, ""Valerie Frankel"", ""M"" , ""PhD"" );"
70,"""Benjamin Hoff""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (70, ""Benjamin Hoff"", ""M"" , ""PhD"" );"
71,"""Niccolo Machiavelli""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (71, ""Niccolo Machiavelli"", ""M"" , ""PhD"" );"
72,"""H. Jackson Brown""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (72, ""H. Jackson Brown"", ""M"" , ""PhD"" );"
73,"""Robert A. Heinlein""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (73, ""Robert A. Heinlein"", ""M"" , ""PhD"" );"
74,"""PHILIP PULLMAN""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (74, ""PHILIP PULLMAN"", ""M"" , ""PhD"" );"
75,"""Anna Sewell""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (75, ""Anna Sewell"", ""M"" , ""PhD"" );"
76,"""MICHAEL ONDAATJE""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (76, ""MICHAEL ONDAATJE"", ""M"" , ""PhD"" );"
77,"""Sandra Levy Ceren""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (77, ""Sandra Levy Ceren"", ""M"" , ""PhD"" );"
78,"""P.J. O'Rourke""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (78, ""P.J. O'Rourke"", ""M"" , ""PhD"" );"
79,"""Mike Gayle""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (79, ""Mike Gayle"", ""M"" , ""PhD"" );"
80,"""Stel Pavlou""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (80, ""Stel Pavlou"", ""M"" , ""PhD"" );"
81,"""Sarah Payne Stuart""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (81, ""Sarah Payne Stuart"", ""M"" , ""PhD"" );"
82,"""Dan Quayle""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (82, ""Dan Quayle"", ""M"" , ""PhD"" );"
83,"""Donald F. Kettl""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (83, ""Donald F. Kettl"", ""M"" , ""PhD"" );"
84,"""DAVID FRUM""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (84, ""DAVID FRUM"", ""M"" , ""PhD"" );"
85,"""Louis Lamour""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (85, ""Louis Lamour"", ""M"" , ""PhD"" );"
86,"""J.D. Salinger""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (86, ""J.D. Salinger"", ""M"" , ""PhD"" );"
87,"""J. R. R. Tolkien""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (87, ""J. R. R. Tolkien"", ""M"" , ""PhD"" );"
88,"""John Berendt""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (88, ""John Berendt"", ""M"" , ""PhD"" );"
89,"""Jennifer Crusie""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (89, ""Jennifer Crusie"", ""M"" , ""PhD"" );"
90,"""Jane Heller""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (90, ""Jane Heller"", ""M"" , ""PhD"" );"
91,"""Michael Rips""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (91, ""Michael Rips"", ""M"" , ""PhD"" );"
92,"""Simon Mawer""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (92, ""Simon Mawer"", ""M"" , ""PhD"" );"
93,"""William Abrahams""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (93, ""William Abrahams"", ""M"" , ""PhD"" );"
94,"""Robert T. Kiyosaki""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (94, ""Robert T. Kiyosaki"", ""M"" , ""PhD"" );"
95,"""Ken Follett""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (95, ""Ken Follett"", ""M"" , ""PhD"" );"
96,"""John F. Love""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (96, ""John F. Love"", ""M"" , ""PhD"" );"
97,"""Robert G. Allen""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (97, ""Robert G. Allen"", ""M"" , ""PhD"" );"
98,"""LOUIS DE BERNIERES""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (98, ""LOUIS DE BERNIERES"", ""M"" , ""PhD"" );"
99,"""Pam Proctor""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (99, ""Pam Proctor"", ""M"" , ""PhD"" );"
100,"""Mitch Albom""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (100, ""Mitch Albom"", ""M"" , ""PhD"" );"
101,"""Irene Gonzalez Frei""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (101, ""Irene Gonzalez Frei"", ""M"" , ""PhD"" );"
102,"""Michael Jan Friedman""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (102, ""Michael Jan Friedman"", ""M"" , ""PhD"" );"
103,"""Glendon Swarthout""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (103, ""Glendon Swarthout"", ""M"" , ""PhD"" );"
104,"""Neal Barrett Jr.""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (104, ""Neal Barrett Jr."", ""M"" , ""PhD"" );"
105,"""David Morrell""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (105, ""David Morrell"", ""M"" , ""PhD"" );"
106,"""Sandra Brown""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (106, ""Sandra Brown"", ""M"" , ""PhD"" );"
107,"""James Patterson""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (107, ""James Patterson"", ""M"" , ""PhD"" );"
108,"""Stuart Woods""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (108, ""Stuart Woods"", ""M"" , ""PhD"" );"
109,"""IRIS JOHANSEN""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (109, ""IRIS JOHANSEN"", ""M"" , ""PhD"" );"
110,"""Dan Brown""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (110, ""Dan Brown"", ""M"" , ""PhD"" );"
111,"""Joe Hutsko""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (111, ""Joe Hutsko"", ""M"" , ""PhD"" );"
112,"""Anita Shreve""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (112, ""Anita Shreve"", ""M"" , ""PhD"" );"
113,"""Ann Rule""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (113, ""Ann Rule"", ""M"" , ""PhD"" );"
114,"""LEWIS GRIZZARD""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (114, ""LEWIS GRIZZARD"", ""M"" , ""PhD"" );"
115,"""Paul Theroux""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (115, ""Paul Theroux"", ""M"" , ""PhD"" );"
116,"""Charles Hickey""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (116, ""Charles Hickey"", ""M"" , ""PhD"" );"
117,"""Stephen King""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (117, ""Stephen King"", ""M"" , ""PhD"" );"
118,"""Ben Mezrich""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (118, ""Ben Mezrich"", ""M"" , ""PhD"" );"
119,"""Bill Hand""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (119, ""Bill Hand"", ""M"" , ""PhD"" );"
120,"""Tom Clancy""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (120, ""Tom Clancy"", ""M"" , ""PhD"" );"
121,"""DANA REEVE""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (121, ""DANA REEVE"", ""M"" , ""PhD"" );"
122,"""Roy""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (122, ""Roy"", ""M"" , ""PhD"" );"
123,"""Barbara Metzger""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (123, ""Barbara Metzger"", ""M"" , ""PhD"" );"
124,"""Gabriel Garcia Marquez""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (124, ""Gabriel Garcia Marquez"", ""M"" , ""PhD"" );"
125,"""Rebecca Wells""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (125, ""Rebecca Wells"", ""M"" , ""PhD"" );"
126,"""Tony Hillerman""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (126, ""Tony Hillerman"", ""M"" , ""PhD"" );"
127,"""Robert James Waller""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (127, ""Robert James Waller"", ""M"" , ""PhD"" );"
128,"""Rachel Harris""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (128, ""Rachel Harris"", ""M"" , ""PhD"" );"
129,"""IAN MCEWAN""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (129, ""IAN MCEWAN"", ""M"" , ""PhD"" );"
130,"""Michael Lewis""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (130, ""Michael Lewis"", ""M"" , ""PhD"" );"
131,"""Richard Zimler""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (131, ""Richard Zimler"", ""M"" , ""PhD"" );"
132,"""Norman Jetmundsen""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (132, ""Norman Jetmundsen"", ""M"" , ""PhD"" );"
133,"""Lorenzo Carcaterra""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (133, ""Lorenzo Carcaterra"", ""M"" , ""PhD"" );"
134,"""Anne Frasier""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (134, ""Anne Frasier"", ""M"" , ""PhD"" );"
135,"""Kay Hooper""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (135, ""Kay Hooper"", ""M"" , ""PhD"" );"
136,"""Soren Kierkegaard""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (136, ""Soren Kierkegaard"", ""M"" , ""PhD"" );"
137,"""Jose Ortega Y Gaset""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (137, ""Jose Ortega Y Gaset"", ""M"" , ""PhD"" );"
138,"""Daphne Du Maurier""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (138, ""Daphne Du Maurier"", ""M"" , ""PhD"" );"
139,"""Nathaniel Hawthorne""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (139, ""Nathaniel Hawthorne"", ""M"" , ""PhD"" );"
140,"""Nick Page""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (140, ""Nick Page"", ""M"" , ""PhD"" );"
141,"""Laura Wolf""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (141, ""Laura Wolf"", ""M"" , ""PhD"" );"
142,"""LOIS DUNCAN""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (142, ""LOIS DUNCAN"", ""M"" , ""PhD"" );"
143,"""Susan Grant""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (143, ""Susan Grant"", ""M"" , ""PhD"" );"
144,"""Barbara Vine""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (144, ""Barbara Vine"", ""M"" , ""PhD"" );"
145,"""Shirley Rousseau Murphy""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (145, ""Shirley Rousseau Murphy"", ""M"" , ""PhD"" );"
146,"""Jane Lindskold""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (146, ""Jane Lindskold"", ""M"" , ""PhD"" );"
147,"""Betty Smith""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (147, ""Betty Smith"", ""M"" , ""PhD"" );"
148,"""Cybill Shepherd""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (148, ""Cybill Shepherd"", ""M"" , ""PhD"" );"
149,"""Stewart O'Nan""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (149, ""Stewart O'Nan"", ""M"" , ""PhD"" );"
150,"""David Baldacci""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (150, ""David Baldacci"", ""M"" , ""PhD"" );"
151,"""Douglas Adams""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (151, ""Douglas Adams"", ""M"" , ""PhD"" );"
152,"""Mary Lawson""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (152, ""Mary Lawson"", ""M"" , ""PhD"" );"
153,"""Willa Cather""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (153, ""Willa Cather"", ""M"" , ""PhD"" );"
154,"""Olivia Goldsmith""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (154, ""Olivia Goldsmith"", ""M"" , ""PhD"" );"
155,"""Helen Fielding""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (155, ""Helen Fielding"", ""M"" , ""PhD"" );"
156,"""Franklin W. Dixon""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (156, ""Franklin W. Dixon"", ""M"" , ""PhD"" );"
157,"""Lilian Jackson Braun""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (157, ""Lilian Jackson Braun"", ""M"" , ""PhD"" );"
158,"""Holly Virden""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (158, ""Holly Virden"", ""M"" , ""PhD"" );"
159,"""H. Norman Wright""","""M""","""PhD""",,"INSERT INTO Writer (ID, Name, Gender, Qualification) VALUES (159, ""H. Norman Wright"", ""M"" , ""PhD"" );"
